model,data,train_pos,train_neg,valid_pos,valid_neg,best_loss,recall,precision,F1,unfrozen,,Test data
Densenet121,freq,16980,17020,3020,2980,0.502629,61.34,100,76.04,4,,Total observations: 13983
DenseNet169,freq,16698,17032,3032,2968,0.501701,68.82,99.93,81.51,4,,Total pulsars: 6664
DenseNet201,freq,17031,16969,2969,3031,0.505697,68.68,99.91,81.4,1,,Total non-pulsars: 7319
Densenet121,dm,16972,17028,3028,2972,,,,,,,
DenseNet169,dm,16962,17038,3038,2962,,,,,,,
DenseNet201,dm,,,,,,,,,,,
VGG16,freq,,,,,,,,,,,
VGG19,freq,,,,,,,,,,,
VGG16,dm,,,,,,,,,,,
VGG19,dm,,,,,,,,,,,
